模型,数据集,任务,版本,模式,Prompt模板,机器/来源,状态,test_examples,accuracy,hit_accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,multi_label_examples,multi_label_accuracy,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,multi_label_macro_precision,multi_label_macro_recall,multi_label_macro_f1,strict_precision,strict_recall,strict_f1,tolerant_precision,tolerant_recall,tolerant_f1,contract_hit,top_k_hit,avg_min_distance,parse_total,parse_ok,parseable_ratio,format_failure_count,format_failure_rate,empty_output_count,empty_output_rate,metrics_path,predictions_file
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P0,direct,ablation_p0,,completed,161,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.109375,0.1189801699716714,0.5562056737588652,0.2304606625258799,0.1617626917355307,26,0.1153846153846154,0.1153846153846154,0.1153846153846154,0.05263157894736842,0.07228915662650602,0.135,0.15,0.06018518518518519,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P1,prompt,ablation_p1,,completed,161,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1197916666666667,0.1303116147308782,0.4167504144218815,0.2406067664219838,0.1714215498877036,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.02717391304347826,0.125,0.04464285714285714,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P2,prompt,ablation_p2,,completed,161,0.1366459627329193,0.1366459627329193,0.1366459627329193,0.1145833333333333,0.1246458923512748,0.5186029411764705,0.2158502729154903,0.1355206245451876,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.04340277777777778,0.1625,0.06847826086956522,,,,,,,,,,161,2,0.0124223602484472,159,0.9875776397515528,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-3B-Instruct,原始3000条,vul_type,P3,prompt,ablation_p3,,completed,161,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1197916666666667,0.1303116147308782,0.5227933541017653,0.2393892339544513,0.1335698630342274,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.04340277777777778,0.1625,0.06847826086956522,,,,,,,,,,161,1,0.006211180124223602,160,0.9937888198757764,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P0,direct,ablation_p0,C,completed,161,,,,,,,,,,,,,,,,,,0.1032608695652174,0.05337078651685393,0.07037037037037036,0.1413043478260869,0.06179775280898876,0.08598917618761275,0.124223602484472,0.1180124223602484,87.05434782608695,161,0,0,161,1,4,0.02484472049689441,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P1,prompt,ablation_p1,C,completed,161,,,,,,,,,,,,,,,,,,0.1038251366120219,0.05337078651685393,0.0705009276437848,0.1475409836065574,0.06179775280898876,0.08710954685437748,0.124223602484472,0.1180124223602484,69.43715846994536,161,0,0,161,1,12,0.07453416149068323,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P2,prompt,ablation_p2,C,completed,161,,,,,,,,,,,,,,,,,,0.1475409836065574,0.05056179775280899,0.07531380753138074,0.180327868852459,0.06179775280898876,0.09205020920502091,0.124223602484472,0.124223602484472,41.97540983606557,161,4,0.02484472049689441,157,0.9751552795031055,66,0.4099378881987578,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_line,P3,prompt,ablation_p3,C,completed,161,,,,,,,,,,,,,,,,,,0.1397058823529412,0.05337078651685393,0.07723577235772358,0.1617647058823529,0.06179775280898876,0.08943089430894309,0.124223602484472,0.124223602484472,38.77941176470588,161,3,0.01863354037267081,158,0.9813664596273292,66,0.4099378881987578,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P0,direct,ablation_p0,C,completed,161,0.1677018633540373,0.1677018633540373,0.1677018633540373,0.140625,0.1529745042492918,0.6523148148148148,0.3396180359495577,0.2862134142463577,26,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.08771929824561403,0.1204819277108434,0.2608695652173913,0.275,0.1866666666666667,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P1,prompt,ablation_p1,C,completed,161,0.1739130434782609,0.1739130434782609,0.1739130434782609,0.1458333333333333,0.1586402266288952,0.5627422480620154,0.3341391398456616,0.2603163428497951,26,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.1228070175438596,0.1686746987951807,0.1521739130434783,0.25,0.1696428571428572,,,,,,,,,,161,0,0,161,1,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P2,prompt,ablation_p2,C,completed,161,0.1677018633540373,0.1677018633540373,0.1677018633540373,0.140625,0.1529745042492918,0.6204573934837093,0.3033096884999059,0.2326505739088453,26,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.1228070175438596,0.1686746987951807,0.1521739130434783,0.25,0.1696428571428572,,,,,,,,,,161,7,0.04347826086956522,154,0.9565217391304348,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
Qwen2.5-Coder-7B-Instruct,原始3000条,vul_type,P3,prompt,ablation_p3,C,completed,161,0.1614906832298137,0.1614906832298137,0.1614906832298137,0.1354166666666667,0.1473087818696884,0.6129397654584222,0.2755093638245812,0.215241279864754,26,0.2307692307692308,0.2307692307692308,0.2307692307692308,0.1052631578947368,0.144578313253012,0.1521739130434783,0.1875,0.1279761904761905,,,,,,,,,,161,8,0.04968944099378882,153,0.9503105590062112,0,0,artifacts/metrics/unassigned_run/metrics.json,artifacts/predictions/unassigned_run/predictions.jsonl
