系列,模型,任务,方法,任务类型,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_f1,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,train_examples,val_examples,test_examples,runtime_minutes,完成时间,本地summary,predictions_file,multi_label_predictions_file,best_checkpoint,来源,补齐阶段说明,数据版本说明,补齐前6组标记,可用于补齐前后对比,本地metrics路径,parseable_ratio,format_failure_rate,empty_output_rate,备注,本地metrics闭合状态,闭合审计说明,macro_precision,macro_recall,macro_f1,strict_precision,strict_recall,tolerant_precision,tolerant_recall
StarCoder2,bigcode/starcoder2-3b,has_vul,full,has,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__full,0.8489208633093526,0.8667239896818573,0.8330578512396695,0.8495575221238938,,,,,,,,,,,17411,4667,2363,68.87350046666667,46160.08318033565,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__full/matrix_summary.json,,,artifacts/checkpoints/remote_starcoder2_3b_e1__has_vul__full/checkpoint-2177,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__full/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-3b,has_vul,prompt,has,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__prompt,0.49259415996614475,0.5478260869565217,0.05206611570247934,0.09509433962264151,,,,,,,,,,,,,2363,23.66673743333333,46160.03535148148,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__has_vul__prompt/predictions.jsonl,,,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__prompt/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-3b,has_vul,qlora,has,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__qlora,0.6906474820143885,0.6846569005397071,0.7338842975206612,0.7084164339848424,,,,,,,,,,,17411,4667,2363,35.51634743333333,46160.10784451389,artifacts/summaries/remote_starcoder2_3b_e1__has_vul__qlora/matrix_summary.json,,,artifacts/checkpoints/remote_starcoder2_3b_e1__has_vul__qlora/checkpoint-2177,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__has_vul__qlora/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-3b,vul_line,direct,line,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__direct,,,,,0.022756005056890013,0.07790057642473754,0.20693928128872366,0.7914485767909362,91.43866171003718,,,,,,,,807,715.9494130666667,46160.73336253472,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__direct/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__direct/metrics.json,,,,0.026022,0.020218,0.115655,0.058729
StarCoder2,bigcode/starcoder2-3b,vul_line,full,line,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__full,,,,,0.28101860213111796,0.38594259055770824,0.8128872366790583,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,805.9395787,46161.78920390047,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__full/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__full/predictions_test.jsonl,,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_line__full/checkpoint-22502,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__full/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__full/metrics.json,,,,0.321355,0.249679,0.483271,0.321245
StarCoder2,bigcode/starcoder2-3b,vul_line,prompt,line,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__prompt,,,,,0.06610077659382338,0.13907230122300657,0.33209417596034696,0.7914485767909362,91.43866171003718,,,,,,,,807,714.47179115,46161.22952356481,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__prompt/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__prompt/metrics.json,,,,0.075589,0.058729,0.227592,0.100128
StarCoder2,bigcode/starcoder2-3b,vul_line,qlora,line,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__qlora,,,,,0.21166696767202456,0.3413371130781332,0.7447335811648079,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,311.8176388666667,46162.00574399305,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__qlora/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_line__qlora/checkpoint-22502,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__qlora/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__qlora/metrics.json,,,,0.242049,0.188062,0.484511,0.263479
StarCoder2,bigcode/starcoder2-3b,vul_type,direct,type,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__direct,0.21586345381526104,0.21586345381526104,0.14786795048143053,0.17551020408163265,,,,,,521,0.18618042226487524,0.18618042226487524,0.0675017397355602,0.09908069458631255,,,1992,20.213552366666665,46160.12188175926,artifacts/summaries/remote_starcoder2_3b_e1__vul_type__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__direct/predictions_multi_label.jsonl,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__direct/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__direct/metrics.json,0.470337,0.141437,0.097175,,,,
StarCoder2,bigcode/starcoder2-3b,vul_type,full,type,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__full,0.7264056224899599,0.7264056224899599,0.49759284731774417,0.5906122448979593,,,,,,521,0.7562380038387716,0.7562380038387716,0.2741823242867084,0.4024514811031665,24992,3829,1992,94.12576286666668,46160.2017606713,artifacts/summaries/remote_starcoder2_3b_e1__vul_type__full/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__full/predictions_test.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__full/predictions_test_multi_label.jsonl,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_type__full/checkpoint-3124,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__full/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__full/metrics.json,0.809363,0.365498,0.45042,,,,
StarCoder2,bigcode/starcoder2-3b,vul_type,prompt,type,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__prompt,0.19026104417670683,0.19026104417670683,0.13033012379642367,0.15469387755102043,,,,,,521,0.1785028790786948,0.1785028790786948,0.06471816283924843,0.09499489274770172,,,1992,20.899725116666666,46160.13639550926,artifacts/summaries/remote_starcoder2_3b_e1__vul_type__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__prompt/predictions_multi_label.jsonl,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__prompt/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__prompt/metrics.json,0.164652,0.115455,0.050322,,,,
