Prompt模板,accuracy,avg_min_distance,contract_hit,empty_output_count,empty_output_rate,f1,format_failure_count,format_failure_rate,hit_accuracy,macro_f1,macro_precision,macro_recall,metrics_path,multi_label_accuracy,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_macro_f1,multi_label_macro_precision,multi_label_macro_recall,multi_label_precision,multi_label_recall,parse_ok,parse_total,parseable_ratio,precision,predictions_file,recall,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,top_k_hit,任务,数据集,机器/来源,模型,模式,版本,状态
ablation_p0,,63.26050420168067,0.1925465838509317,1,0.006211180124223602,,161,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,161,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.06732117812061712,0.06722689075630252,0.06741573033707865,161,0.1229391923840747,0.1400560224089636,0.1095505617977528,0.1739130434782609,vul_line,原始3000条,C,Qwen2.5-Coder-32B-Instruct,direct,P0,completed
ablation_p1,,81.34310850439883,0.1614906832298137,9,0.05590062111801242,,161,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,161,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.06886657101865137,0.07038123167155426,0.06741573033707865,161,0.1015908907373011,0.1085043988269795,0.09550561797752809,0.1428571428571428,vul_line,原始3000条,C,Qwen2.5-Coder-32B-Instruct,prompt,P1,completed
ablation_p2,,77.08256880733946,0.04968944099378882,99,0.6149068322981367,,129,0.8012422360248447,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,32,161,0.1987577639751553,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.03440860215053763,0.07339449541284404,0.02247191011235955,161,0.03440860215053763,0.07339449541284404,0.02247191011235955,0.04347826086956522,vul_line,原始3000条,C,Qwen2.5-Coder-32B-Instruct,prompt,P2,completed
ablation_p3,,59.5,0.07453416149068323,90,0.5590062111801242,,139,0.8633540372670807,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,22,161,0.1366459627329193,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.03187250996015936,0.0547945205479452,0.02247191011235955,161,0.04890282131661442,0.08904109589041095,0.03370786516853932,0.06832298136645963,vul_line,原始3000条,C,Qwen2.5-Coder-32B-Instruct,prompt,P3,completed
ablation_p0,0.15527950310559,,,0,0,0.141643059490085,161,1,0.15527950310559,0.2612619132976539,0.5394174845510723,0.3203404385469603,artifacts/metrics/unassigned_run/metrics.json,0.1923076923076923,26,0.1204819277108434,0.1923076923076923,0.1628571428571429,0.2608695652173913,0.2596153846153846,0.1923076923076923,0.08771929824561403,0,161,0,0.15527950310559,artifacts/predictions/unassigned_run/predictions.jsonl,0.1302083333333333,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-32B-Instruct,direct,P0,completed
ablation_p1,0.1739130434782609,,,0,0,0.1586402266288952,161,1,0.1739130434782609,0.2706337975411777,0.5288998791905769,0.332327545642763,artifacts/metrics/unassigned_run/metrics.json,0.3076923076923077,26,0.1927710843373494,0.3076923076923077,0.2337962962962963,0.2784090909090909,0.2916666666666667,0.3076923076923077,0.1403508771929824,0,161,0,0.1739130434782609,artifacts/predictions/unassigned_run/predictions.jsonl,0.1458333333333333,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-32B-Instruct,prompt,P1,completed
ablation_p2,0.1863354037267081,,,0,0,0.169971671388102,152,0.9440993788819876,0.1863354037267081,0.2517823376236297,0.5395282859078591,0.3085709580274797,artifacts/metrics/unassigned_run/metrics.json,0.2692307692307692,26,0.1686746987951807,0.2692307692307692,0.224537037037037,0.2727272727272727,0.2666666666666667,0.2692307692307692,0.1228070175438596,9,161,0.05590062111801242,0.1863354037267081,artifacts/predictions/unassigned_run/predictions.jsonl,0.15625,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-32B-Instruct,prompt,P2,completed
ablation_p3,0.1863354037267081,,,0,0,0.169971671388102,152,0.9440993788819876,0.1863354037267081,0.2334021111716686,0.5709778922655537,0.283002776209298,artifacts/metrics/unassigned_run/metrics.json,0.2307692307692308,26,0.144578313253012,0.2307692307692308,0.1703703703703704,0.2102272727272727,0.2041666666666667,0.2307692307692308,0.1052631578947368,9,161,0.05590062111801242,0.1863354037267081,artifacts/predictions/unassigned_run/predictions.jsonl,0.15625,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-32B-Instruct,prompt,P3,completed
ablation_p0,,45.13672316384181,0.1524390243902439,116,0.7073170731707317,,164,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,164,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.04118616144975288,0.02824858757062147,0.07598784194528875,164,0.08338480543545398,0.0847457627118644,0.08206686930091185,0.07317073170731707,vul_line,原始3000条,,Qwen2.5-Coder-3B-Instruct,direct,P0,completed
ablation_p1,,104.8664425427873,0.1951219512195122,0,0,,164,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,164,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.01888364343237989,0.01039119804400978,0.1033434650455927,164,0.05103825201396587,0.03209046454767726,0.1246200607902736,0.07926829268292683,vul_line,原始3000条,,Qwen2.5-Coder-3B-Instruct,prompt,P1,completed
