accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,execution_source,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,method,metrics_path,model,model_family,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,status,strict_f1,strict_precision,strict_recall,task,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,weighted_f1,weighted_precision,weighted_recall
0.199799,,,,,,compute_node_a,0.162449,,0.055188,0.163189,0.115773,prompt,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__prompt/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,521,0.099081,0.18618,0.18618,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__prompt/predictions_multi_label.jsonl,0.067502,,0.199799,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__prompt/predictions.jsonl,0.136864,matrix_balanced721_qwen05_e1__vul_type__prompt,completed,,,,vul_type,1992,,,,,,,,
0.600904,,artifacts/checkpoints/matrix_balanced721_qwen05_e1__vul_type__qlora/checkpoint-3124,,,,compute_node_a,0.488571,,0.363007,0.63799,0.291479,qlora,artifacts/metrics/matrix_balanced721_qwen05_e1__vul_type__qlora/metrics.json,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder,521,0.351379,0.660269,0.660269,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__qlora/predictions_test_multi_label.jsonl,0.239388,,0.600904,artifacts/predictions/matrix_balanced721_qwen05_e1__vul_type__qlora/predictions_test.jsonl,0.411623,matrix_balanced721_qwen05_e1__vul_type__qlora,completed,,,,vul_type,1992,,,,24992,3829,,,
0.4955564959796868,,,,,,compute_node_a,0.05246422893481717,,,,,direct,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.6875,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__has_vul__direct/predictions.jsonl,0.02727272727272727,formal_balanced721_qwen25coder15b_e1__has_vul__direct,completed,,,,has_vul,2363,,,,,,,,
0.8751586965721541,,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__has_vul__full/checkpoint-2177,,,,compute_node_a,0.8756847871892119,,,,,full,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.8933791917454859,,0.8586776859504133,formal_balanced721_qwen25coder15b_e1__has_vul__full,completed,,,,has_vul,2363,,,,17411,4667,,,
0.48243757934828607,,,,,,compute_node_a,0.0407843137254902,,,,,prompt,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.4,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__has_vul__prompt/predictions.jsonl,0.021487603305785124,formal_balanced721_qwen25coder15b_e1__has_vul__prompt,completed,,,,has_vul,2363,,,,,,,,
0.7507405840033855,,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__has_vul__qlora/checkpoint-2177,,,,compute_node_a,0.7598858540562576,,,,,qlora,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.7497988736926791,,0.7702479338842976,formal_balanced721_qwen25coder15b_e1__has_vul__qlora,completed,,,,has_vul,2363,,,,17411,4667,,,
,91.438662,,0.791449,0.309789,,compute_node_a,,,,,,direct,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__direct/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__direct/predictions.jsonl,,formal_balanced721_qwen25coder15b_e1__vul_line__direct,completed,0.054903,0.062784,0.04878,vul_line,807,0.137355,0.23957,0.096277,,,,,
,91.438662,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_line__full/checkpoint-22502,0.791449,0.827757,,compute_node_a,,,,,,full,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__full/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.331681,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__full/predictions_test.jsonl,0.257702,formal_balanced721_qwen25coder15b_e1__vul_line__full,completed,0.290049,0.331681,0.257702,vul_line,807,0.394781,0.500207,0.326059,10155,1529,,,
,91.438662,,0.791449,0.366791,,compute_node_a,,,,,,prompt,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__prompt/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__prompt/predictions.jsonl,,formal_balanced721_qwen25coder15b_e1__vul_line__prompt,completed,0.063211,0.072284,0.056162,vul_line,807,0.161017,0.244527,0.120026,,,,,
,91.438662,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_line__qlora/checkpoint-22502,0.791449,0.791822,,compute_node_a,,,,,,qlora,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_line__qlora/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,,,,,,,,0.293267,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_line__qlora/predictions_test.jsonl,0.227856,formal_balanced721_qwen25coder15b_e1__vul_line__qlora,completed,0.256457,0.293267,0.227856,vul_line,807,0.378648,0.493598,0.307125,10155,1529,,,
