config_bundle,config_record_id,config_sha256,machine,method,model,run_name,source_path,task
artifacts/configs/remote_starcoder2_7b_e1__vul_type__direct/config.json,remote_starcoder2_7b_e1_vul_type_direct,254b1bb36e02e0327e0897b372dd6a45676e1a1115c8296896da8eaa43036da9,compute_node_c,direct,bigcode/starcoder2-7b,remote_starcoder2_7b_e1__vul_type__direct,artifacts/configs/remote_starcoder2_7b_e1__vul_type__direct/config.json,vul_type
artifacts/configs/remote_starcoder2_7b_e1__vul_type__prompt/config.json,remote_starcoder2_7b_e1_vul_type_prompt,a5224ef79c0f99056f592cb014b87c80ab404fc00dbe4928a27cbaee644f2c67,compute_node_c,prompt,bigcode/starcoder2-7b,remote_starcoder2_7b_e1__vul_type__prompt,artifacts/configs/remote_starcoder2_7b_e1__vul_type__prompt/config.json,vul_type
artifacts/configs/remote_starcoder2_7b_e1__vul_type__qlora/config.json,remote_starcoder2_7b_e1_vul_type_qlora,b14bc68f39aec34bde304d7d49227f94ac149ff0550b9e888fef5c53efac2274,compute_node_c,qlora,bigcode/starcoder2-7b,remote_starcoder2_7b_e1__vul_type__qlora,artifacts/configs/remote_starcoder2_7b_e1__vul_type__qlora/config.json,vul_type
artifacts/configs/remote_codellama_13b_e1__has_vul__direct/config.json,remote_codellama_13b_e1_has_vul_direct,74fef1f8d862b0b1d2e950f7be7013dc8e8a23aba1d9f38647c2a50277e2b4ae,compute_node_c,direct,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__has_vul__direct,artifacts/configs/remote_codellama_13b_e1__has_vul__direct/config.json,has_vul
artifacts/configs/remote_codellama_13b_e1__has_vul__prompt/config.json,remote_codellama_13b_e1_has_vul_prompt,91f502a74e4e3b3eb4e6a7cc143e4c7bcb9af60374a6df3c03c43e83ac266b2c,compute_node_c,prompt,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__has_vul__prompt,artifacts/configs/remote_codellama_13b_e1__has_vul__prompt/config.json,has_vul
artifacts/configs/remote_codellama_13b_e1__has_vul__qlora/config.json,remote_codellama_13b_e1_has_vul_qlora,14ef36cec8314e72bce125ea5cc89cf4d7ca5914be0de78f37ceb0fa385c96da,compute_node_c,qlora,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__has_vul__qlora,artifacts/configs/remote_codellama_13b_e1__has_vul__qlora/config.json,has_vul
artifacts/configs/remote_codellama_13b_e1__vul_line__direct/config.json,remote_codellama_13b_e1_vul_line_direct,33dc40070e2f51902afa6fed86ee37e2c1e1bc51aa69d94906bf42ec418e9de9,compute_node_c,direct,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__vul_line__direct,artifacts/configs/remote_codellama_13b_e1__vul_line__direct/config.json,vul_line
artifacts/configs/remote_codellama_13b_e1__vul_line__prompt/config.json,remote_codellama_13b_e1_vul_line_prompt,64c1ca47340f0950633dc432d3063ae0f9bd627ff085d32e56aef5818efa08af,compute_node_c,prompt,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__vul_line__prompt,artifacts/configs/remote_codellama_13b_e1__vul_line__prompt/config.json,vul_line
artifacts/configs/remote_codellama_13b_e1__vul_line__qlora/config.json,remote_codellama_13b_e1_vul_line_qlora,17c64e733bb781f0e66961fc8b45e28f84ff37a33094ecdbbb089baffd213395,compute_node_c,qlora,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__vul_line__qlora,artifacts/configs/remote_codellama_13b_e1__vul_line__qlora/config.json,vul_line
artifacts/configs/remote_codellama_13b_e1__vul_type__direct/config.json,remote_codellama_13b_e1_vul_type_direct,3f54d1a1f15995d0d7c43b59aa2677ef547292dba449cba6152dd0db580db394,compute_node_c,direct,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__vul_type__direct,artifacts/configs/remote_codellama_13b_e1__vul_type__direct/config.json,vul_type
